"provincia","departamento","pob_2010"
"CABA","COMUNA 1",205886
"CABA","COMUNA 2",157932
"CABA","COMUNA 3",187537
"CABA","COMUNA 4",218245
"CABA","COMUNA 5",179005
"CABA","COMUNA 6",176076
"CABA","COMUNA 7",220591
"CABA","COMUNA 8",187237
"CABA","COMUNA 9",161797
"CABA","COMUNA 10",166022
"CABA","COMUNA 11",189832
"CABA","COMUNA 12",200116
"CABA","COMUNA 13",231331
"CABA","COMUNA 14",225970
"CABA","COMUNA 15",182574
"Buenos Aires","ALMIRANTE BROWN",552902
"Buenos Aires","AVELLANEDA",342677
"Buenos Aires","BERAZATEGUI",324244
"Buenos Aires","ESTEBAN ECHEVERRIA",300959
"Buenos Aires","EZEIZA",163722
"Buenos Aires","FLORENCIO VARELA",426005
"Buenos Aires","GENERAL SAN MARTIN",414196
"Buenos Aires","HURLINGHAM",181241
"Buenos Aires","ITUZAINGO",167824
"Buenos Aires","JOSE C. PAZ",265981
"Buenos Aires","LA MATANZA",1775816
"Buenos Aires","LANUS",459263
"Buenos Aires","LOMAS DE ZAMORA",616279
"Buenos Aires","MALVINAS ARGENTINAS",322375
"Buenos Aires","MERLO",528494
"Buenos Aires","MORENO",452505
"Buenos Aires","MORON",321109
"Buenos Aires","QUILMES",582943
"Buenos Aires","SAN FERNANDO",163240
"Buenos Aires","SAN ISIDRO",292878
"Buenos Aires","SAN MIGUEL",276190
"Buenos Aires","TIGRE",376381
"Buenos Aires","TRES DE FEBRERO",340071
"Buenos Aires","VICENTE LOPEZ",269420
"Buenos Aires","ADOLFO ALSINA",17072
"Buenos Aires","ADOLFO GONZALES CHAVES",12047
"Buenos Aires","ALBERTI",10654
"Buenos Aires","ARRECIFES",29044
"Buenos Aires","AYACUCHO",20337
"Buenos Aires","AZUL",65280
"Buenos Aires","BAHIA BLANCA",301572
"Buenos Aires","BALCARCE",43823
"Buenos Aires","BARADERO",32761
"Buenos Aires","BENITO JUAREZ",20239
"Buenos Aires","BERISSO",88470
"Buenos Aires","BOLIVAR",34190
"Buenos Aires","BRAGADO",41336
"Buenos Aires","BRANDSEN",26367
"Buenos Aires","CAMPANA",94461
"Buenos Aires","CAÑUELAS",51892
"Buenos Aires","CAPITAN SARMIENTO",14494
"Buenos Aires","CARLOS CASARES",22237
"Buenos Aires","CARLOS TEJEDOR",11570
"Buenos Aires","CARMEN DE ARECO",14692
"Buenos Aires","CASTELLI",8205
"Buenos Aires","CHACABUCO",48703
"Buenos Aires","CHASCOMUS",42277
"Buenos Aires","CHIVILCOY",64185
"Buenos Aires","COLON",24890
"Buenos Aires","CORONEL DE MARINA LEONARDO ROSALES",62152
"Buenos Aires","CORONEL DORREGO",15825
"Buenos Aires","CORONEL PRINGLES",22933
"Buenos Aires","CORONEL SUAREZ",38320
"Buenos Aires","DAIREAUX",16889
"Buenos Aires","DOLORES",27042
"Buenos Aires","ENSENADA",56729
"Buenos Aires","ESCOBAR",213619
"Buenos Aires","EXALTACION DE LA CRUZ",29805
"Buenos Aires","FLORENTINO AMEGHINO",8869
"Buenos Aires","GENERAL ALVARADO",39594
"Buenos Aires","GENERAL ALVEAR",11130
"Buenos Aires","GENERAL ARENALES",14903
"Buenos Aires","GENERAL BELGRANO",17365
"Buenos Aires","GENERAL GUIDO",2816
"Buenos Aires","GENERAL JUAN MADARIAGA",19747
"Buenos Aires","GENERAL LA MADRID",10783
"Buenos Aires","GENERAL LAS HERAS",14889
"Buenos Aires","GENERAL LAVALLE",3700
"Buenos Aires","GENERAL PAZ",11202
"Buenos Aires","GENERAL PINTO",11261
"Buenos Aires","GENERAL PUEYRREDON",618989
"Buenos Aires","GENERAL RODRIGUEZ",87185
"Buenos Aires","GENERAL VIAMONTE",18078
"Buenos Aires","GENERAL VILLEGAS",30864
"Buenos Aires","GUAMINI",11826
"Buenos Aires","HIPOLITO YRIGOYEN",9585
"Buenos Aires","JUNIN",90305
"Buenos Aires","LA COSTA",69633
"Buenos Aires","LA PLATA",654324
"Buenos Aires","LAPRIDA",10210
